time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1671352877.21372461,0.00472742,0.00059800,0.00000298,14773.00000000,0.00660063,0.000000,0.000000
1671352877.31457996,0.00473091,0.00062403,0.00000299,14824.00000000,0.00638040,0.000000,0.000000
1671352877.41543460,0.00473810,0.00112789,0.00000340,14844.00000000,0.00814366,0.000000,0.000000
1671352877.51632929,0.00474283,0.00065467,0.00000325,14574.00000000,0.00699080,0.000000,0.000000
1671352877.61715293,0.00474781,0.00080313,0.00000288,14629.00000000,0.00711666,0.000000,0.000000
1671352877.71802068,0.00475040,0.00053233,0.00000282,14703.00000000,0.00598605,0.000000,0.000000
1671352877.81888723,0.00475488,0.00068451,0.00000332,14767.00000000,0.00689657,0.000000,0.000000
1671352877.91973162,0.00475902,0.00083338,0.00000332,14822.00000000,0.00674590,0.000000,0.000000
1671352878.02059197,0.00476331,0.00062354,0.00000341,14821.00000000,0.00682250,0.000000,0.000000
1671352878.12143755,0.00476570,0.00051254,0.00000287,14862.00000000,0.00591109,0.000000,0.000000
1671352878.22229433,0.00476964,0.00084965,0.00000295,14927.00000000,0.00666871,0.000000,0.000000
1671352878.32317758,0.00477404,0.00059389,0.00000334,14952.00000000,0.00690039,0.000000,0.000000
1671352878.42401743,0.00477856,0.00070550,0.00000330,15018.00000000,0.00696808,0.000000,0.000000
1671352878.52488375,0.00478235,0.00095317,0.00000284,15052.00000000,0.00661822,0.000000,0.000000
1671352878.62574196,0.00479044,0.00061582,0.00000389,15048.00000000,0.00872448,0.000000,0.000000
1671352878.72659159,0.00479524,0.00065392,0.00000291,15122.00000000,0.00713173,0.000000,0.000000
1671352878.82745266,0.00479937,0.00068352,0.00000287,15195.00000000,0.00681710,0.000000,0.000000
1671352878.92835855,0.00480362,0.00075302,0.00000285,15256.00000000,0.00687751,0.000000,0.000000
1671352879.02919149,0.00480913,0.00071110,0.00000330,15261.00000000,0.00750961,0.000000,0.000000
1671352879.13004827,0.00481550,0.00072546,0.00000336,15328.00000000,0.00794291,0.000000,0.000000
1671352879.23091078,0.00482147,0.00080507,0.00000311,15402.00000000,0.00775943,0.000000,0.000000
1671352879.33178282,0.00482488,0.00058359,0.00000273,15253.00000000,0.00650829,0.000000,0.000000
1671352879.43260527,0.00483539,0.00084114,0.00000410,15322.00000000,0.01002401,0.000000,0.000000
1671352879.53347206,0.00484235,0.00077789,0.00000341,15412.00000000,0.00828854,0.000000,0.000000
1671352879.63433266,0.00484957,0.00068173,0.00000333,15339.00000000,0.00843145,0.000000,0.000000
1671352879.73518395,0.00485448,0.00069691,0.00000286,15420.00000000,0.00729342,0.000000,0.000000
1671352879.83605766,0.00486004,0.00069300,0.00000297,15522.00000000,0.00763140,0.000000,0.000000
1671352879.93691444,0.00486540,0.00068834,0.00000290,15608.00000000,0.00753947,0.000000,0.000000
1671352880.03777313,0.00487228,0.00072529,0.00000341,15670.00000000,0.00831306,0.000000,0.000000
1671352880.13862348,0.00487820,0.00084963,0.00000297,15707.00000000,0.00784474,0.000000,0.000000
1671352880.23948336,0.00488635,0.00117956,0.00000344,15780.00000000,0.00897731,0.000000,0.000000
1671352880.34032083,0.00489049,0.00070351,0.00000291,15762.00000000,0.00697277,0.000000,0.000000
1671352880.44118786,0.00489900,0.00081371,0.00000353,15848.00000000,0.00918958,0.000000,0.000000
1671352880.54205012,0.00490685,0.00078115,0.00000354,15901.00000000,0.00886901,0.000000,0.000000
1671352880.64292288,0.00491322,0.00087393,0.00000299,15955.00000000,0.00813608,0.000000,0.000000
1671352880.74378061,0.00491862,0.00082749,0.00000302,16011.00000000,0.00765783,0.000000,0.000000
1671352880.84462833,0.00492524,0.00072163,0.00000313,16042.00000000,0.00828686,0.000000,0.000000
1671352880.94552302,0.00493070,0.00073980,0.00000306,16110.00000000,0.00770868,0.000000,0.000000
1671352881.04638934,0.00493701,0.00084067,0.00000303,16154.00000000,0.00815609,0.000000,0.000000
1671352881.14723110,0.00494573,0.00113042,0.00000320,16212.00000000,0.00940050,0.000000,0.000000
1671352881.24810195,0.00495599,0.00131603,0.00000346,16299.00000000,0.01020984,0.000000,0.000000
1671352881.34892750,0.00496334,0.00093854,0.00000302,16183.00000000,0.00873446,0.000000,0.000000
1671352881.44982934,0.00496942,0.00089424,0.00000299,16229.00000000,0.00809247,0.000000,0.000000
1671352881.55065441,0.00498474,0.00111382,0.00000482,16253.00000000,0.01287850,0.000000,0.000000
1671352881.65154529,0.00499097,0.00073820,0.00000305,16327.00000000,0.00820217,0.000000,0.000000
1671352881.75236416,0.00499718,0.00074322,0.00000312,16387.00000000,0.00820854,0.000000,0.000000
1671352881.85323381,0.00500307,0.00086642,0.00000297,16437.00000000,0.00805282,0.000000,0.000000
1671352881.95411015,0.00501167,0.00105496,0.00000360,16436.00000000,0.00947899,0.000000,0.000000
1671352882.05493164,0.00501944,0.00128955,0.00000300,16473.00000000,0.00906016,0.000000,0.000000
1671352882.15580082,0.00502688,0.00081338,0.00000280,16269.00000000,0.00890111,0.000000,0.000000
1671352882.25665426,0.00503244,0.00077740,0.00000277,16392.00000000,0.00793610,0.000000,0.000000
1671352882.35750890,0.00504175,0.00084931,0.00000349,16500.00000000,0.00991087,0.000000,0.000000
1671352882.45839119,0.00504961,0.00114145,0.00000341,16592.00000000,0.00916693,0.000000,0.000000
1671352882.55923939,0.00505517,0.00068213,0.00000295,16586.00000000,0.00797149,0.000000,0.000000
1671352882.66009808,0.00506281,0.00077238,0.00000307,16672.00000000,0.00908595,0.000000,0.000000
1671352882.76095390,0.00507067,0.00089397,0.00000346,16766.00000000,0.00920999,0.000000,0.000000
1671352882.86184406,0.00507503,0.00081429,0.00000284,16817.00000000,0.00737840,0.000000,0.000000
1671352882.96266842,0.00507938,0.00071108,0.00000306,16861.00000000,0.00737981,0.000000,0.000000
